count,sample_name,all_models_average,all_models_uncertainty,nls_norm_value,nls_model_error,kuiper_norm,kuiper_std,ks_norm,ks-std,xcorr_norm,xcorr_std,kuiper_norm,kuiper_std,ks_norm,ks-std,xcorr_norm,xcorr_std
1,Devonian Granitoids,0.04974271,0,0.04974271,,0.04974271,0,0.04974271,0,0.04974271,0,0.04974271,0,0.04974271,0,0.04974271,0
2,Mount Read Volcanics,0.060366159,0.019176732,0.171780737,0.101701747,0.059904541,0.014326696,0.02909539,0.019175423,0.026560511,0.019297408,0.045187033,0.042784539,0.065179636,0.065379598,0.024855267,0.025020202
3,Oonah Formation,0.158357199,0.021779583,0.158726526,0.101870687,0.239638223,0.041495451,0.274381948,0.038611679,0.298251729,0.042920131,0.049815262,0.050142739,0.036711647,0.044665688,0.050975057,0.057457235
4,Luina Group,0.359920319,0.039777421,0.368106064,0.100086947,0.206497285,0.038207881,0.255724504,0.035365024,0.15660112,0.031473637,0.475043359,0.131173043,0.48193075,0.18992188,0.575539154,0.102638774
5,Crimson Creek Formation,0.047560815,0.019995063,0.066522602,0.103748188,0.046653246,0.014225235,0.026277111,0.020796677,0.032395565,0.015015695,0.069413758,0.055798974,0.080767388,0.068656593,0.010896036,0.011792172
6,Success Creek Group,0.028954489,0.00916943,0,0,0.033331936,0.017361926,0.032457158,0.01885003,0.062201946,0.025520035,0.028705626,0.035803699,0.021923782,0.025166079,0.024060973,0.029942872
7,Arthur Lineament,0.022442581,0.009465622,0,0,0.01962234,0.015900886,0.025568867,0.021547656,0.039260292,0.026843071,0.027483332,0.032677548,0.028574517,0.038713535,0.016588721,0.019648198
8,Wings Sandstone,0.070050685,0.026046983,0.068583407,0.10368174,0.074196851,0.060178894,0.048553254,0.049514722,0.111655844,0.070795257,0.069883988,0.051392156,0.065514655,0.075486094,0.051966799,0.055402502
9,Forest Conglomerate,0.053351076,0.022014095,0.015337267,0.106994676,0.125757004,0.05106738,0.109781543,0.062763626,0.023416606,0.014558469,0.034707075,0.040867136,0.025052123,0.032559031,0.039405912,0.05300213
10,Rock Cape Group,0.021634436,0.009912157,0,0,0.031222092,0.031381879,0.021214514,0.021129908,0.025891119,0.023215201,0.02485061,0.029997244,0.021998517,0.029342844,0.026264203,0.03291221
11,Tyennan Element,0.040386008,0.013354606,0,0,0.044823136,0.043338738,0.058592366,0.053444127,0.105411925,0.032313777,0.023966559,0.026327342,0.02140359,0.025892779,0.028504482,0.03995827
12,> 1900 Ma,0.101200686,0,0.101200686,,0.101200686,0,0.101200686,0,0.101200686,0,0.101200686,0,0.101200686,0,0.101200686,0
